id,name,slug,description,parent_id,level,display_order,active,featured,product_count,show_in_menu,show_in_footer
505307,Aquarium Air Stones & Diffusers,aquarium-air-stones-diffusers,Animals & Pet Supplies > Pet Supplies > Fish Supplies > Aquarium Air Stones & Diffusers,6,4,44,true,false,0,false,false
500038,Aquarium Cleaning Supplies,aquarium-cleaning-supplies,Animals & Pet Supplies > Pet Supplies > Fish Supplies > Aquarium Cleaning Supplies,6,4,45,true,false,0,false,false
5019,Aquarium Decor,aquarium-decor,Animals & Pet Supplies > Pet Supplies > Fish Supplies > Aquarium Decor,6,4,46,true,false,0,false,false
5020,Aquarium Filters,aquarium-filters,Animals & Pet Supplies > Pet Supplies > Fish Supplies > Aquarium Filters,6,4,47,true,false,0,false,false
505306,Aquarium Fish Nets,aquarium-fish-nets,Animals & Pet Supplies > Pet Supplies > Fish Supplies > Aquarium Fish Nets,6,4,48,true,false,0,false,false
5021,Aquarium Gravel & Substrates,aquarium-gravel-substrates,Animals & Pet Supplies > Pet Supplies > Fish Supplies > Aquarium Gravel & Substrates,6,4,49,true,false,0,false,false
5079,Aquarium Lighting,aquarium-lighting,Animals & Pet Supplies > Pet Supplies > Fish Supplies > Aquarium Lighting,6,4,50,true,false,0,false,false
6951,Aquarium Overflow Boxes,aquarium-overflow-boxes,Animals & Pet Supplies > Pet Supplies > Fish Supplies > Aquarium Overflow Boxes,6,4,51,true,false,0,false,false
5023,Aquarium Stands,aquarium-stands,Animals & Pet Supplies > Pet Supplies > Fish Supplies > Aquarium Stands,6,4,52,true,false,0,false,false
500062,Aquarium Temperature Controllers,aquarium-temperature-controllers,Animals & Pet Supplies > Pet Supplies > Fish Supplies > Aquarium Temperature Controllers,6,4,53,true,false,0,false,false
5161,Aquarium Water Treatments,aquarium-water-treatments,Animals & Pet Supplies > Pet Supplies > Fish Supplies > Aquarium Water Treatments,6,4,54,true,false,0,false,false
3238,Aquariums,aquariums,Animals & Pet Supplies > Pet Supplies > Fish Supplies > Aquariums,6,4,55,true,false,0,false,false
6085,Aquatic Plant Fertilizers,aquatic-plant-fertilizers,Animals & Pet Supplies > Pet Supplies > Fish Supplies > Aquatic Plant Fertilizers,6,4,56,true,false,0,false,false
6403,Fish Feeders,fish-feeders,Animals & Pet Supplies > Pet Supplies > Fish Supplies > Fish Feeders,6,4,57,true,false,0,false,false
5024,Fish Food,fish-food,Animals & Pet Supplies > Pet Supplies > Fish Supplies > Fish Food,6,4,58,true,false,0,false,false
6983,Pet Agility Equipment,pet-agility-equipment,Animals & Pet Supplies > Pet Supplies > Pet Agility Equipment,2,3,59,true,false,0,false,false
6811,Pet Apparel Hangers,pet-apparel-hangers,Animals & Pet Supplies > Pet Supplies > Pet Apparel Hangers,2,3,60,true,false,0,false,false
500084,Pet Bed Accessories,pet-bed-accessories,Animals & Pet Supplies > Pet Supplies > Pet Bed Accessories,2,3,61,true,false,0,false,false
5092,Pet Bells & Charms,pet-bells-charms,Animals & Pet Supplies > Pet Supplies > Pet Bells & Charms,2,3,62,true,false,0,false,false
6978,Pet Biometric Monitors,pet-biometric-monitors,Animals & Pet Supplies > Pet Supplies > Pet Biometric Monitors,2,3,63,true,false,0,false,false
6980,Pet Glucose Meters,pet-glucose-meters,Animals & Pet Supplies > Pet Supplies > Pet Biometric Monitors > Pet Glucose Meters,6978,4,64,true,false,0,false,false
6982,Pet Pedometers,pet-pedometers,Animals & Pet Supplies > Pet Supplies > Pet Biometric Monitors > Pet Pedometers,6978,4,65,true,false,0,false,false
6981,Pet Thermometers,pet-thermometers,Animals & Pet Supplies > Pet Supplies > Pet Biometric Monitors > Pet Thermometers,6978,4,66,true,false,0,false,false
7143,Pet Bowl Mats,pet-bowl-mats,Animals & Pet Supplies > Pet Supplies > Pet Bowl Mats,2,3,67,true,false,0,false,false
8513,Pet Bowl Stands,pet-bowl-stands,Animals & Pet Supplies > Pet Supplies > Pet Bowl Stands,2,3,68,true,false,0,false,false
6252,"Pet Bowls, Feeders & Waterers",pet-bowls-feeders-waterers,"Animals & Pet Supplies > Pet Supplies > Pet Bowls, Feeders & Waterers",2,3,69,true,false,0,false,false
500026,Pet Carrier & Crate Accessories,pet-carrier-crate-accessories,Animals & Pet Supplies > Pet Supplies > Pet Carrier & Crate Accessories,2,3,70,true,false,0,false,false
6251,Pet Carriers & Crates,pet-carriers-crates,Animals & Pet Supplies > Pet Supplies > Pet Carriers & Crates,2,3,71,true,false,0,false,false
6250,Pet Collars & Harnesses,pet-collars-harnesses,Animals & Pet Supplies > Pet Supplies > Pet Collars & Harnesses,2,3,72,true,false,0,false,false
6321,Pet Containment Systems,pet-containment-systems,Animals & Pet Supplies > Pet Supplies > Pet Containment Systems,2,3,73,true,false,0,false,false
505811,Pet Door Accessories,pet-door-accessories,Animals & Pet Supplies > Pet Supplies > Pet Door Accessories,2,3,74,true,false,0,false,false
4497,Pet Doors,pet-doors,Animals & Pet Supplies > Pet Supplies > Pet Doors,2,3,75,true,false,0,false,false
